domain,subdomain,difficulty,description,explanation,hint,calculator,verified,correct,point,choice0,choice1,choice2,choice3
data_system,types,easy,Which of these is an example of FLOAT?,a sensor reading is an example of FLOAT.,,,,0,10,a sensor reading,a pool of 20 connections,MongoDB,"one customer, many orders"
data_system,perf,easy,Which term means: a structure that speeds up row lookups?,That describes Index.,,,,1,10,Document database,Index,Graph database,Attribute
data_system,model,easy,What best describes Entity?,Entity - a real-world thing represented as a table.,,,,0,10,a real-world thing represented as a table,a variable-length text column type,systems optimised for many small transactions,a versioned change to the database schema
data_system,keys,easy,Which term means: an artificial key with no business meaning?,That describes Surrogate key.,,,,1,10,Query plan,Surrogate key,CHAR,Bulk load
data_system,basics,easy,What best describes View?,View - a saved query that acts like a virtual table.,,,,2,10,a primary key made of more than one column,a column referencing the primary key of another table,a saved query that acts like a virtual table,systems optimised for analytical queries
data_system,model,easy,Which of these is an example of Relationship?,a customer places orders is an example of Relationship.,,,,1,10,the clustered id index,a customer places orders,a catalogue of the schema,adding a new column
data_system,keys,easy,Which term means: a column referencing the primary key of another table?,That describes Foreign key.,,,,1,10,Natural key,Foreign key,Relationship,CHECK constraint
data_system,kinds,easy,Which of these is an example of Columnar database?,a columnar warehouse is an example of Columnar database.,,,,1,10,VARCHAR(255) for a name,a columnar warehouse,a sensor reading,logging every update
data_system,basics,easy,"Which term means: documentation of tables, columns and types?",That describes Data dictionary.,,,,2,10,Entity,TIMESTAMP,Data dictionary,Relationship
data_system,types,easy,Which of these is an example of TIMESTAMP?,a created_at timestamp is an example of TIMESTAMP.,,,,1,10,a social network graph,a created_at timestamp,a monthly-report procedure,a customer places orders
