domain,subdomain,difficulty,description,explanation,hint,calculator,verified,correct,point,choice0,choice1,choice2,choice3
economics,monetary-policy,medium,"The money multiplier is 1 / reserve requirement. If the required reserve ratio is 10% and the central bank injects $100 million into the banking system what is the maximum potential increase in the money supply?",Money multiplier = 1 / 0.10 = 10. Maximum increase = $100 million x 10 = $1,000 million = $1 billion.,Money supply increase = injection x (1 / reserve ratio),,,,2,15,$10 million,$100 million,$1,000 million (1 billion),$500 million
economics,production-costs,medium,Which of the following correctly describes the relationship between marginal cost and average variable cost curves?,When MC is below AVC it pulls AVC down; when MC is above AVC it pulls AVC up. MC crosses AVC at the minimum of the AVC curve.,MC crosses AVC and ATC at their minimum points,,,,0,15,MC intersects AVC at its minimum point,MC intersects AVC at its maximum point,MC is always above AVC,MC is always equal to AVC
economics,market-structures,medium,In a perfectly competitive industry the long-run equilibrium price equals:,In long-run perfectly competitive equilibrium free entry drives economic profit to zero. Price equals minimum average total cost and also equals marginal cost.,P = MC = minimum ATC in long-run competitive equilibrium,,,,3,15,Average fixed cost,Average variable cost,Marginal revenue which exceeds price,Minimum average total cost
economics,supply-demand,medium,"When the income elasticity of demand for a good is negative the good is classified as:",Income elasticity of demand = % change in Qd / % change in income. A negative value means demand falls as income rises - the defining characteristic of an inferior good.,Income elasticity < 0 means inferior good,,,,1,15,A normal good,An inferior good,A Giffen good only,A luxury good
economics,trade,medium,An import quota and a tariff both restrict trade but differ in that:,A tariff generates government revenue (like a tax) while a quota generates no revenue for the government - instead the gain goes to whoever holds the import licenses.,,,,,2,15,A quota raises revenue for the government while a tariff does not,A tariff limits quantities while a quota raises prices,A tariff generates revenue for the government while a quota typically does not,A quota only applies to goods while a tariff only applies to services
economics,gdp,medium,"Real GDP grows 3% and the population grows 1%. By approximately what percentage does real GDP per capita grow?",GDP per capita growth rate = GDP growth rate - population growth rate = 3% - 1% = 2%.,GDP per capita growth = GDP growth - population growth,,,,0,15,2%,4%,3%,1%
economics,consumer-theory,medium,The substitution effect of a price increase refers to:,When a good's price rises it becomes relatively more expensive compared to substitutes. Holding real income constant consumers substitute away from it - this is the substitution effect.,,,,,3,15,The consumer buying more due to higher income,The shift in the budget constraint outward,Buying more of the good because it is now more valuable,Switching to cheaper alternatives because the good became relatively more expensive
economics,fiscal-policy,medium,"If the MPC is 0.75 and the government increases spending by $200 billion what is the total change in GDP predicted by the simple Keynesian multiplier?",Multiplier = 1 / (1 - 0.75) = 1 / 0.25 = 4. Change in GDP = 4 x $200 billion = $800 billion.,Multiplier = 1 / (1 - MPC),,,,1,15,$200 billion,$800 billion,$150 billion,$1,200 billion
economics,externalities,medium,Negative externalities cause a market to produce:,Because the private cost is below the true social cost firms produce more than is socially optimal. The market quantity exceeds the efficient quantity.,Private cost < Social cost means overproduction,,,,2,15,Less than the socially optimal quantity,Exactly the socially optimal quantity,More than the socially optimal quantity,The socially optimal quantity only if regulated
economics,elasticity,medium,If income elasticity of demand for a good is 2.5 the good is best classified as:,Income elasticity > 1 means demand rises faster than income - this is the definition of a luxury good (also called an income-elastic or superior good).,Income elasticity > 1 = luxury good,,,,0,15,A luxury good,A necessity,An inferior good,A Giffen good
economics,monetary-policy,medium,"If a central bank wants to reduce inflation it would most likely:", Raising interest rates reduces borrowing consumption and investment lowering aggregate demand and reducing upward pressure on prices.,,,,,3,15,Buy government bonds on the open market,Lower the required reserve ratio,Decrease the discount rate,Raise the policy interest rate to reduce aggregate demand
economics,market-structures,medium,A firm in an oligopoly considering a price change must account for:,In oligopoly firms are interdependent. Any firm changing its price must anticipate how rivals will respond - a key feature distinguishing oligopoly from perfect competition.,,,,,1,15,Government approval for every price change,Rivals' likely reactions to the price change,The infinite number of competitors in the market,Fixed marginal costs across all firms
economics,gdp,medium,"Using the income approach GDP equals the sum of:",The income approach to GDP measures all incomes earned in producing goods and services: wages (labor income) profits rents and interest.,,,,,2,15,Consumer spending plus investment plus government spending,Exports minus imports plus domestic consumption,Wages + profits + rents + interest earned in the economy,Total output minus taxes plus subsidies
economics,supply-demand,medium,"A price ceiling is set at $5 in a market where equilibrium is $8 and at $5 quantity supplied is 40 units and quantity demanded is 70 units. What is the size of the shortage?",Shortage = Qd - Qs at the ceiling price = 70 - 40 = 30 units.,Shortage = Qd - Qs at the controlled price,,,,0,15,30 units,110 units,40 units,70 units
economics,production-costs,medium,"A firm in the short run has fixed costs of $200, variable costs of $400 for producing 80 units. What is the average variable cost?",AVC = TVC / Q = $400 / 80 = $5 per unit.,AVC = TVC / Q,,,,3,15,$7.50,$3.00,$2.50,$5.00
economics,comparative-advantage,medium,The gains from trade according to the Ricardian model arise because:,By specializing in goods where their opportunity cost is lowest and trading countries can collectively produce more than if each tried to be self-sufficient.,,,,,1,15,Trade simply redistributes wealth between countries without creating new value,Specialization based on comparative advantage increases total production,The stronger country always benefits at the expense of the weaker,Trade only benefits countries with large populations
economics,macroeconomics,medium,In the Keynesian cross model if autonomous spending increases by $100 and the MPC is 0.6 equilibrium GDP increases by:,Multiplier = 1 / (1 - 0.6) = 2.5. Change in Y = 100 x 2.5 = $250.,Multiplier = 1 / (1 - MPC),,,,2,15,$100,$160,$250,$400
economics,consumer-theory,medium,The concept of consumer equilibrium states that utility is maximized when:,At the consumer optimum the last dollar spent on each good yields the same marginal utility. This ensures no reallocation can increase total utility.,MU_x / P_x = MU_y / P_y,,,,0,15,The marginal utility per dollar is equal across all goods consumed,Total spending equals total income,The marginal utility of every good equals zero,Prices of all goods are equal
economics,trade,medium,"When a small country with a $3 domestic price joins free trade and the world price is $5, what happens?",The world price ($5) exceeds the domestic price ($3) so the country exports the good. Domestic producers gain and domestic consumers lose.,Compare world price to domestic price to determine import vs. export,,,,3,15,The country imports the good; consumers gain and producers lose,The price stays at $3 due to trade adjustment costs,Neither imports nor exports change,The country exports the good; domestic producers gain and consumers lose
economics,elasticity,medium,"A firm's total revenue is $1,000 at a price of $10 and $1,100 at a price of $11. What can be concluded about the price elasticity of demand?",TR rises from $1,000 to $1,100 as price rises from $10 to $11. When TR rises with price demand is inelastic (|PED| < 1).,When TR and P move in same direction demand is inelastic,,,,1,15,Demand is elastic (|PED| > 1),Demand is inelastic (|PED| < 1),Demand is unit elastic (|PED| = 1),No conclusion can be drawn
economics,fiscal-policy,medium,Automatic stabilizers reduce the size of the fiscal multiplier because:,Automatic stabilizers like income taxes and unemployment benefits mean that government spending and taxes adjust automatically offsetting some of the initial demand change and reducing the multiplier.,,,,,2,15,They increase government spending in every phase of the cycle,They prevent interest rates from changing,They offset some of the initial demand change reducing the effective multiplier,They cause the central bank to raise rates automatically
economics,market-structures,medium,What is the deadweight loss in a monopoly?,A monopoly restricts output below the competitive level to raise price. The deadweight loss is the value of transactions that would have occurred under competition but do not occur under monopoly.,,,,,0,15,Lost surplus from output not produced that would exist under perfect competition,The monopolist's total profit,The sum of consumer and producer surplus,The difference between monopoly revenue and costs
economics,gdp,medium,"If consumption is $6 trillion, investment is $2 trillion, government spending is $1.5 trillion, exports are $1 trillion, and imports are $1.2 trillion, what is GDP using the expenditure approach?",GDP = C + I + G + (X - M) = 6 + 2 + 1.5 + (1 - 1.2) = 9.5 + (-0.2) = $9.3 trillion.,GDP = C + I + G + (X - M),,,,3,15,$11.7 trillion,$9.5 trillion,$10.3 trillion,$9.3 trillion
economics,monetary-policy,medium,Open market operations involve:,Open market operations are the central bank's purchases or sales of government securities in the open market to change the money supply and influence interest rates.,,,,,1,15,The government selling goods and services directly,The central bank buying or selling government securities to influence the money supply,Banks lending to each other in the interbank market,The treasury adjusting tax rates
economics,production-costs,medium,At the minimum point of the long-run average cost curve a firm is said to be operating at:,The minimum point of the LRAC represents the most efficient scale of production. At this point the firm is at minimum efficient scale.,,,,,2,15,Diminishing returns,Maximum economies of scale,Minimum efficient scale (constant returns to scale),Diseconomies of scale
economics,supply-demand,medium,"In a market for loanable funds if the government runs a large budget deficit and borrows heavily, the effect is:", Government borrowing increases the demand for loanable funds shifting the demand curve right. This raises the real interest rate and crowds out private investment.,,,,,0,15,The real interest rate rises and private investment falls (crowding out),The real interest rate falls encouraging more investment,The supply of loanable funds increases matching demand,The money supply automatically rises to fill the gap
economics,externalities,medium,If a factory producing steel also creates pollution the socially optimal level of steel output occurs where:,The social optimum accounts for all costs including the external cost of pollution. Output should be where social marginal cost (private MC + external cost) equals marginal benefit (demand).,Social optimum: SMC = SMB,,,,3,15,Private marginal cost equals marginal revenue,Marginal cost equals zero pollution,Total social cost is minimized at any output level,Social marginal cost (private MC + external cost) equals marginal benefit
economics,macroeconomics,medium,Which best explains why the aggregate demand (AD) curve slopes downward?,AD slopes down because higher price levels reduce real wealth (wealth effect) raise interest rates (interest rate effect) and make domestic goods more expensive relative to foreign goods (exchange rate effect).,,,,,1,15,Higher prices cause firms to produce less,Higher prices reduce real purchasing power and raise interest rates making spending fall,Higher prices cause the money supply to contract,Higher prices reduce government spending automatically
economics,consumer-theory,medium,"If the price of good X rises and a consumer buys more of good X, good X is most likely a:",If demand increases when price rises the income effect dominates the substitution effect. This can occur with inferior goods where the negative income effect (from reduced real income) is so large the consumer buys more - these are Giffen goods.,,,,,2,15,Normal good,Luxury good,Giffen good,Complement to another good
economics,trade,medium,The theory of comparative advantage suggests that global output is maximized when:,When each country specializes in goods where its opportunity cost is lowest and trades freely total global production expands beyond what would be achieved under autarky.,,,,,0,15,Each country specializes in goods where it has lowest opportunity cost and trades,Each country produces all of its own goods to ensure self-sufficiency,Only large developed economies engage in international trade,Governments manage trade to ensure balanced bilateral trade
