domain,subdomain,difficulty,description,explanation,hint,calculator,verified,correct,point,choice0,choice1,choice2,choice3
english,confused-words,medium,"Choose the correct word: ""I would rather walk ___ wait for the bus.""","""Than"" is used in comparisons and after ""rather."" ""Rather walk than wait"" is correct.",,,,1,15,then,than,den,thenn
english,confused-words,medium,"Choose the correct word: ""She is taller ___ her brother.""","""Than"" is used for comparisons. ""Taller than"" is correct.",,,,1,15,then,than,den,thann
english,confused-words,medium,"Choose the correct word: ""We ate dinner and ___ watched a movie.""","""Then"" refers to time or sequence. ""Then watched a movie"" is correct.",,,,0,15,then,than,thn,thann
english,confused-words,medium,"Choose the correct word: ""To ___ should I address this letter?""","""Whom"" is the object form. After a preposition like ""to"" use ""whom.""",,,,2,15,who,whose,whom,who's
english,confused-words,medium,"Choose the correct word: ""___ car is parked outside?""","""Whose"" shows possession. ""Whose car"" asks who owns the car.",,,,1,15,Who's,Whose,Whom,Whoms
english,confused-words,medium,"Choose the correct word: ""She made ___ mistakes than last time.""","Use ""fewer"" with countable nouns like mistakes. ""Fewer mistakes"" is correct.",,,,0,15,fewer,less,lesser,least
english,confused-words,medium,"Choose the correct word: ""There are ___ cars on the road today.""","Use ""fewer"" with countable nouns like cars. ""Fewer cars"" is correct.",,,,2,15,less,lesser,fewer,least
english,confused-words,medium,"Choose the correct word: ""I have ___ time than I thought.""","Use ""less"" with uncountable nouns like time. ""Less time"" is correct.",,,,0,15,less,fewer,fewest,lesser
english,punctuation,medium,What is the main use of a semicolon?,A semicolon links two closely related independent clauses without a conjunction.,,,,1,15,To end a question,To join two related independent clauses,To begin a list,To show possession
english,punctuation,medium,Which sentence uses a semicolon correctly?,"A semicolon joins two related complete thoughts. ""I was tired; I went to bed early."" is correct.",,,,0,15,I was tired; I went to bed early.,I was tired; and went to bed.,I bought; apples and bread.,She ran; quickly home.
english,punctuation,medium,What is the main use of a colon?,A colon introduces a list explanation or quotation that follows an independent clause.,,,,2,15,To join two sentences equally,To show contrast,To introduce a list or explanation,To replace a comma in dates
english,punctuation,medium,Which sentence uses a colon correctly?,"A colon introduces a list after a complete clause. ""I need three things: eggs, milk, and bread."" is correct.",,,,3,15,I need: eggs milk and bread.,I need three things eggs: milk and bread.,I need three: things.,"I need three things: eggs, milk, and bread."
english,figurative-language,medium,"What does the idiom ""break the ice"" mean?","An idiom has a figurative meaning. ""Break the ice"" means to ease tension and start a conversation.",,,,0,15,To start a conversation and ease tension,To literally break frozen water,To cause an argument,To end a relationship
english,figurative-language,medium,"What does the idiom ""hit the books"" mean?","""Hit the books"" is an idiom meaning to study hard.",,,,1,15,To damage books,To study hard,To buy new books,To read for fun
english,figurative-language,medium,"What does the idiom ""once in a blue moon"" mean?","""Once in a blue moon"" means very rarely.",,,,2,15,Every night,Very often,Very rarely,Never
english,tone-mood,medium,"What is ""tone"" in writing?",Tone is the author's attitude toward the subject conveyed through word choice.,,,,0,15,The author's attitude toward the subject,The number of words in a sentence,The setting of a story,The main character's name
english,tone-mood,medium,"What is ""mood"" in literature?",Mood is the feeling or atmosphere a piece of writing creates in the reader.,,,,1,15,The author's purpose,The atmosphere or feeling created in the reader,The order of events,The rhyme scheme
english,reading,medium,"What is the ""main idea"" of a passage?",The main idea is the central point or message the author wants to communicate.,,,,3,15,The first sentence only,A minor detail,The longest paragraph,The central point the author makes
english,reading,medium,"What is a ""supporting detail""?",A supporting detail is a fact example or reason that backs up the main idea.,,,,0,15,A fact or example that backs up the main idea,The title of the passage,The author's name,The page number
english,reading,medium,"What does it mean to ""infer"" while reading?",To infer is to use clues in the text plus your own knowledge to figure out something not directly stated.,,,,2,15,To copy a sentence exactly,To skip difficult words,To draw a conclusion from clues,To read aloud
english,vocabulary,medium,"What does ""meticulous"" mean?","""Meticulous"" means showing great attention to detail; very careful.",,,,1,15,Careless and messy,Showing great attention to detail,Extremely fast,Loud and forceful
english,vocabulary,medium,"What does ""benevolent"" mean?","""Benevolent"" means kind and well-meaning.",,,,0,15,Kind and well-meaning,Cruel and harsh,Wealthy,Foolish
english,vocabulary,medium,"What does ""inevitable"" mean?","""Inevitable"" means certain to happen; unavoidable.",,,,2,15,Unlikely,Optional,Certain to happen,Easily changed
english,vocabulary,medium,"What does ""ambiguous"" mean?","""Ambiguous"" means open to more than one interpretation; unclear.",,,,3,15,Perfectly clear,Very bright,Extremely loud,Open to more than one meaning
english,word-roots,medium,"The root ""aqua"" means what?","The Latin root ""aqua"" means water as in aquarium and aquatic.",,,,0,15,Water,Fire,Light,Earth
english,word-roots,medium,"The root ""bio"" means what?","The Greek root ""bio"" means life as in biology and biography.",,,,1,15,Book,Life,Sound,Time
english,word-roots,medium,"The root ""tele"" means what?","The Greek root ""tele"" means far or distant as in telephone and television.",,,,2,15,Small,Together,Far or distant,Under
english,parallel-structure,medium,Which sentence has correct parallel structure?,"Parallel structure uses the same grammatical form for items in a series. ""reading, writing, and drawing"" all match.",,,,0,15,"She likes reading, writing, and drawing.","She likes reading, writing, and to draw.","She likes to read, writing, and draws.","She likes read, write, and drawing."
english,modifiers,medium,"What is wrong with ""Walking down the street, the trees were beautiful""?",This is a dangling modifier - it sounds like the trees were walking. The phrase should modify a person.,,,,1,15,Nothing is wrong,The modifier does not clearly attach to the right noun,It has no verb,It is a question
english,subject-verb-agreement,medium,"Choose the correct verb: ""Neither the teacher nor the students ___ ready.""","With ""neither/nor"" the verb agrees with the nearer subject. ""Students"" is plural so use ""are.""",,,,2,15,is,was,are,has
english,confused-words,medium,"Choose the correct word: ""The team played well; ___, they lost.""","""However"" is a transition showing contrast and follows a semicolon before an independent clause.",,,,0,15,however,moreover,therefore,furthermore
