domain,subdomain,difficulty,description,explanation,hint,calculator,verified,correct,point,choice0,choice1,choice2,choice3
marketing,positioning,easy,What is a 'perceptual map' used for in marketing?,A perceptual map visually plots how consumers perceive brands in relation to two or more attributes - helping identify positioning opportunities.,,,,0,10,Visualizing how consumers perceive competing brands on key attributes,Mapping the geographic distribution of customers,Tracking social media engagement over time,Showing the stages of the customer purchase journey
marketing,pricing-strategy,easy,What does 'value-based pricing' mean?,Value-based pricing sets the price primarily based on the perceived value of the product to the customer rather than the cost of producing it.,,,,1,10,Adding a fixed markup to production costs,Setting price based on how much value the customer perceives,Matching competitors' prices exactly,Using promotional discounts to increase sales volume
marketing,segmentation,easy,A luxury car brand targets consumers who value status and exclusivity. What type of segmentation is being used?,Psychographic segmentation targets consumers based on lifestyle - values - attitudes - and social status - which drives luxury brand purchases.,,,,2,10,Demographic segmentation,Geographic segmentation,Psychographic segmentation,Behavioral segmentation
marketing,branding,easy,What is brand extension?,Brand extension is when a company uses an established brand name to launch a new product in a different category.,,,,3,10,Refreshing an existing brand's visual identity,Merging two brands after a corporate acquisition,Increasing advertising spend for an existing product,Using an existing brand name to launch a product in a new category
marketing,digital-marketing,easy,What is the primary goal of a 'conversion' in digital marketing?,A conversion occurs when a website visitor completes a desired action - such as making a purchase - signing up for a newsletter - or filling out a form.,,,,0,10,A visitor completing a desired action such as a purchase or signup,A visitor sharing a page on social media,A visitor reading more than three pages on a site,A visitor returning to the site within 30 days
marketing,consumer-behavior,easy,The influence of celebrities and athletes on purchasing decisions is an example of which type of social influence?,Celebrities and athletes function as aspirational reference groups - people we aspire to be like - and their endorsements influence consumer behavior.,,,,1,10,Family influence,Reference group influence,Cultural influence,Situational influence
marketing,product-lifecycle,easy,Which marketing strategy is most appropriate during the Growth stage of the product lifecycle?,During Growth - the focus shifts to building brand preference - differentiating from new competitors - and expanding distribution to capture growing demand.,,,,2,10,Heavy price discounts to attract first-time buyers,Reducing advertising spend to cut costs,Building brand preference and expanding distribution,Cutting production and preparing for discontinuation
marketing,market-research,easy,What is the difference between quantitative and qualitative research?,Quantitative research collects numerical data measurable statistically - while qualitative research gathers descriptive data about attitudes and opinions.,,,,3,10,Quantitative asks 'why'; qualitative counts how many,Qualitative uses surveys; quantitative uses interviews,Quantitative is cheaper; qualitative is more accurate,Quantitative collects numerical data; qualitative collects descriptive insights
marketing,promotion-mix,easy,Which promotional tool involves earning unpaid media coverage through press releases and news stories?,Public relations earns unpaid media coverage by managing relationships with the press and generating news stories - as opposed to paid advertising.,,,,0,10,Public relations,Advertising,Sales promotion,Sponsorship
marketing,4ps,easy,A hotel offers a 'book early and save 20%' deal. Which element of the marketing mix does this relate to?,Early booking discounts are a pricing tactic - involving decisions about the price element of the marketing mix including discounts and special offers.,,,,1,10,Product,Price,Place,Promotion
marketing,distribution-channels,easy,What is an 'indirect' distribution channel?,An indirect channel uses one or more intermediaries (such as wholesalers or retailers) between the manufacturer and the final consumer.,,,,2,10,Selling through the company's own stores only,Selling via the company's website directly,Selling through intermediaries such as wholesalers and retailers,Selling directly to business customers
marketing,competitive-analysis,easy,What is a 'market leader'?,The market leader is the company with the largest market share in a given industry or product category.,,,,3,10,The first company to launch a product in a market,The company with the highest profit margin,The company with the most employees,The company with the highest market share in its industry
marketing,customer-lifetime-value,easy,What does Customer Lifetime Value (CLV) measure?,Customer Lifetime Value estimates the total net profit a company expects to earn from a customer over the entire duration of their relationship.,,,,0,10,The total net revenue a business expects from a customer over time,The cost of acquiring one new customer,The average value of a single customer transaction,The number of times a customer buys per year
marketing,segmentation,easy,Which segmentation variable would a company use to target consumers who regularly buy its product more than once a week?,Usage rate is a behavioral segmentation variable - dividing customers into light - medium - and heavy users based on how often they buy or use a product.,,,,1,10,Demographic segmentation by income,Behavioral segmentation by usage rate,Psychographic segmentation by lifestyle,Geographic segmentation by city size
marketing,branding,easy,What is a 'private label' (or store brand) product?,A private label product is manufactured by one company but sold under a retailer's own brand name (e.g. a supermarket's own-brand cereal).,,,,2,10,A luxury product sold in exclusive boutiques,A brand that only sells products online,A product made and sold by the same manufacturer,A product manufactured by one company and sold under a retailer's brand name
marketing,digital-marketing,easy,What is 'pay-per-click' (PPC) advertising?,PPC is a digital advertising model where advertisers pay a fee each time one of their ads is clicked - rather than paying for impressions.,,,,3,10,Paying a flat fee to display an ad for one month,Paying based on the number of people who see an ad,Paying influencers for social media mentions,Paying each time a user clicks on an ad
marketing,consumer-behavior,easy,The process by which individuals acquire the buying knowledge and experiences they apply to future purchase behavior is called:,Consumer socialization is the process through which people learn skills - knowledge - and attitudes relevant to their behavior as consumers.,,,,0,10,Consumer socialization,Cognitive dissonance,Brand association,Selective perception
marketing,ansoff-matrix,easy,Which Ansoff strategy carries the MOST risk?,Diversification - introducing a new product into a new market - carries the highest risk because the company has no existing experience in either dimension.,,,,1,10,Market penetration,Diversification,Market development,Product development
marketing,swot,easy,Which component of SWOT analysis deals with internal factors that put a company at a disadvantage?,Weaknesses are internal factors within a company that reduce its ability to achieve objectives - such as limited resources or poor brand recognition.,,,,2,10,Opportunities,Threats,Weaknesses,Strengths
marketing,positioning,easy,A brand positions itself as the most affordable option in its category. This is an example of which positioning strategy?,Positioning by price/value highlights that the product offers the best deal - focusing on affordability as the key differentiator.,,,,3,10,Positioning by product attribute,Positioning by user,Positioning by competitor,Positioning by price and value
marketing,pricing-strategy,easy,What is 'competitive pricing'?,Competitive pricing involves setting prices based primarily on what competitors are charging for similar products - rather than on costs or demand.,,,,0,10,Setting prices in line with what competitors charge,Setting prices based on production cost plus a profit margin,Setting prices based on what consumers are willing to pay,Temporarily reducing prices to beat a specific competitor
marketing,market-research,easy,What is the purpose of test marketing?,Test marketing involves launching a product in a limited area to gauge consumer response before a full-scale launch - reducing the risk of failure.,,,,1,10,Testing a product's durability in laboratory conditions,Launching a product in a limited area to measure consumer response before full launch,Surveying employees about a proposed new product,Analyzing secondary data about market size
marketing,4ps,easy,A company redesigns its product packaging to make it more eco-friendly. This is a change to which element of the marketing mix?,Packaging is considered part of the Product element in the marketing mix - as it relates to how the product is presented and its physical attributes.,,,,2,10,Price,Promotion,Product,Place
marketing,promotion-mix,easy,What is the key difference between advertising and personal selling?,Advertising is a mass communication paid for by the sponsor - while personal selling involves direct one-on-one interaction between a salesperson and a prospect.,,,,3,10,Advertising is cheaper per contact; personal selling reaches more people,Advertising requires a large budget; personal selling is always free,Advertising is only digital; personal selling happens in stores,Advertising is mass communication; personal selling is direct one-on-one interaction
marketing,digital-marketing,easy,What does 'organic reach' mean in social media marketing?,Organic reach is the number of people who see content without paid promotion - through natural sharing - followers - and algorithmic distribution.,,,,0,10,The number of people who see content without paid promotion,The total number of followers an account has,The number of times an ad is shown to paid audiences,The engagement rate on sponsored posts
marketing,branding,easy,What is 'co-branding'?,Co-branding is a partnership between two or more brands that feature both brands' identities on a single product or marketing campaign.,,,,1,10,Licensing a brand name to a foreign manufacturer,Collaborating with another brand on a joint product or campaign,Updating a brand's visual identity every few years,Extending a brand into a new product category
marketing,consumer-behavior,easy,A consumer buys a cheaper store-brand cereal instead of a name brand. This behavior is most closely associated with:,Price sensitivity is the degree to which price affects consumer purchase decisions. Choosing a cheaper substitute shows high price sensitivity.,,,,2,10,Brand loyalty,Impulse buying,Price sensitivity,Cognitive dissonance
marketing,distribution-channels,easy,What is 'intensive distribution'?,Intensive distribution means placing a product in as many outlets as possible to maximize availability and convenience for consumers.,,,,3,10,Selling only through a single exclusive retailer,Selling directly to consumers online only,Selling through a carefully selected network of premium outlets,Placing a product in as many retail outlets as possible
marketing,competitive-analysis,easy,What does 'market share' measure?,Market share is the percentage of total sales in a market that a company controls - calculated by dividing the company's sales by total market sales.,,,,0,10,A company's sales as a percentage of total market sales,The number of customers a company has compared to competitors,The profit margin a company earns relative to the industry average,The number of products a company sells in a given period
marketing,customer-lifetime-value,easy,Which of the following actions would most directly INCREASE a customer's lifetime value?,Customer lifetime value increases when customers buy more frequently - spend more per transaction - or remain loyal longer. Reducing churn (stopping customers from leaving) extends the relationship.,,,,1,10,Offering a one-time discount to new customers only,Reducing customer churn through a loyalty rewards program,Increasing advertising spending on social media,Launching a new product for a completely different market
marketing,positioning,easy,A company emphasizes that its running shoes are endorsed by Olympic athletes. This is an example of positioning by:,Positioning by user associates the product with a particular type of user or aspirational group - in this case elite athletes - to attract consumers who identify with that image.,,,,2,10,Product attribute,Price and value,User imagery,Competitor contrast
marketing,product-lifecycle,easy,What typically happens to the price of a product during the Decline stage of the product lifecycle?,In the Decline stage - companies often reduce prices to sell remaining inventory and maintain some volume as demand drops.,,,,3,10,Prices increase as remaining loyal customers pay a premium,Prices stay the same to maintain brand image,Prices fluctuate unpredictably due to market volatility,Prices are often reduced to clear remaining inventory
marketing,segmentation,easy,A streaming service creates different subscription plans for students - individuals - and families. This is an example of:,Offering different pricing tiers for different segments is market segmentation combined with targeted product/price differentiation.,,,,0,10,Targeting distinct customer segments with tailored plans,Geographic segmentation by country,Behavioral segmentation by viewing history only,Competitive pricing against rival streaming services
marketing,4ps,easy,When a manufacturer offers a rebate to encourage the purchase of a specific product - this is part of which 'P'?,Rebates are a form of sales promotion - which falls under the Promotion element of the marketing mix.,,,,1,10,Product,Promotion,Price,Place
marketing,branding,easy,What is 'rebranding'?,Rebranding is the process of changing a company's or product's image - name - logo - or positioning to better reflect its current identity or target a new market.,,,,2,10,Launching a brand in a new international market,Expanding a brand's product range,Changing a brand's name - logo - or image to better fit new goals or audiences,Increasing advertising spend to boost brand awareness
marketing,market-research,easy,Which of the following is an example of secondary data?,Secondary data is data that already exists and was collected for another purpose. Published industry reports are a classic example of secondary data.,,,,3,10,A telephone interview conducted with 50 customers,An in-store observation of shopping behavior,A new survey sent to your mailing list,Published industry reports from a trade association
marketing,swot,easy,A growing trend toward healthy eating represents which component of SWOT for a fruit company?,A growing consumer trend toward healthy eating is an external positive trend that the fruit company can exploit - making it an Opportunity.,,,,0,10,Opportunity,Strength,Weakness,Threat
marketing,digital-marketing,easy,What is 'influencer marketing'?,Influencer marketing involves partnering with individuals who have a large and engaged social media following to promote a brand or product to their audience.,,,,1,10,Paying large media companies for TV ad slots,Partnering with social media personalities to promote products to their followers,Running targeted email campaigns to industry professionals,Sponsoring online news articles about your brand
