management,strategy,medium,"Porter argues that firms caught between low-cost leadership and differentiation without a clear strategy will underperform. He calls this being what?",Porter warned that firms trying to be all things to all customers end up with no sustainable competitive advantage. He called this being 'stuck in the middle' - neither the cost leader nor sufficiently differentiated.,Porter,,,0,15,Stuck in the middle,Operationally inefficient,Strategically focused,A niche player
management,change-management,medium,"During a major restructuring, a manager notices that some employees are angry, others are bargaining for exceptions, and a few seem resigned. Which model best explains these reactions?","The Kubler-Ross change curve (originally a model of grief) describes stages including denial, anger, bargaining, depression, and acceptance. Managers can use it to anticipate and support employees through emotional responses to change.",Kubler-Ross,,,2,15,Kotter's eight-step model,Lewin's Unfreeze-Change-Refreeze model,The Kubler-Ross change curve,Herzberg's Two-Factor Theory
management,change-management,medium,"A firm implementing new ERP software finds that middle managers are actively undermining the rollout. According to Kotter, what is the most likely root cause?","Kotter identifies insufficient coalition-building and failure to communicate the vision as leading causes of change failure. Middle managers resist when they do not understand the urgency feel excluded from the coalition or lack a clear picture of the future state.",Kotter,,,1,15,The ERP software is technically too complex for the organization,Lack of a guiding coalition and insufficient communication of the vision,The change was implemented too slowly giving resistance time to grow,The organization's hierarchy is too flat to enforce the change
management,hrm,medium,"A firm discovers that its high performers leave within 18 months while low performers stay. Which HR concept best explains this, and what should management focus on?","Adverse selection / dysfunctional turnover describes the pattern where the best employees leave (often attracted by better offers) while the weakest remain. Management should focus on retention strategies for high performers: career development, recognition, and competitive rewards.",,,3,15,"High performers leave because of poor teamwork, so fix team dynamics","Low performers stay because they have too much job security, so tighten appraisal","Turnover is uniformly distributed and simply needs to be reduced overall","Dysfunctional turnover means high performers leave; focus on retention strategies for top talent"
management,hrm,medium,What is the difference between on-the-job training and off-the-job training and when is each more appropriate?,"On-the-job training (OJT) happens in the workplace during normal duties - for example coaching or job rotation. Off-the-job training occurs away from the workplace (classroom, online course). OJT is cost-effective and directly relevant; off-the-job suits conceptual learning or when distractions at work must be avoided.",,,0,15,"OJT happens at work during normal duties; off-the-job is away from the workplace - each suits different learning objectives","OJT uses technology; off-the-job uses classroom only","OJT is for managers; off-the-job is only for new recruits","OJT is more expensive; off-the-job is always preferred for skill building"
management,hrm,medium,"A company introduces flexible working, additional leave, and mentoring to reduce turnover. These initiatives primarily address which level of Maslow's hierarchy?","Flexible working and mentoring address social needs (belonging, relationships) and esteem needs (recognition, growth). The initiatives go beyond purely physiological and safety needs to target the upper-middle tiers of Maslow's hierarchy.",Maslow,,,2,15,Physiological needs only,Safety and security needs only,"Social and esteem needs (belonging, recognition, and growth)","Self-actualization needs only"
management,operations,medium,"A manufacturer eliminates unnecessary steps in its production process, reduces batch sizes, and trains workers to do multiple tasks. This is most consistent with which management approach?","Lean production (based on the Toyota Production System) aims to eliminate waste in all forms (overproduction, waiting, excess inventory, defects). Multi-skilling and small batches are hallmarks of lean thinking.",,,1,15,Total Quality Management,Lean production,Six Sigma,Mass customization
management,operations,medium,"A service firm maps every step a customer goes through when using its service, from first contact to final delivery, to identify pain points. This tool is called what?","A service blueprint (or customer journey map) visually documents every touchpoint and back-stage process in a service experience. It reveals where failures occur and where improvements can improve customer satisfaction.",,,3,15,Gantt chart,Work breakdown structure,Ishikawa (fishbone) diagram,Service blueprint
management,project-management,medium,"A project manager identifies that a delay in software testing will push back the entire product launch. The software testing task lies on which part of the project plan?","Tasks on the critical path have zero float - any delay directly delays project completion. The project manager should prioritize resources for critical-path activities to protect the overall schedule.",,,0,15,The critical path,A parallel non-critical path,The work breakdown structure,The risk register
management,project-management,medium,"A project is 60% complete but has spent 80% of its budget. Using earned value management, the project is described as what?","Earned Value Management (EVM) compares work completed (earned value) to money spent (actual cost). Spending 80% of budget for 60% completion means the project is over budget (cost performance index < 1). It may also be behind schedule depending on planned value.",EVM,,,2,15,On budget and on schedule,Under budget and ahead of schedule,Over budget relative to work completed,Complete and within scope
management,project-management,medium,"At the end of a project, the team holds a structured meeting to document what went well and what should improve next time. This practice is called what?","A post-project review (or retrospective / lessons-learned meeting) captures insights from a completed project. Its purpose is organizational learning - improving processes and avoiding repeated mistakes on future projects.",,,1,15,A stakeholder briefing,A post-project review or lessons-learned session,A project kick-off meeting,A risk assessment workshop
management,communication,medium,"A senior manager sends a detailed email explaining a new policy, but employees continue to misunderstand it. Which communication barrier is most likely responsible?","When a clear written message is still misunderstood, the likely barriers are information overload, poor channel selection (email for complex emotional content), or lack of feedback mechanisms that would reveal the misunderstanding early.",,,3,15,Physical noise in the workplace,The message was encoded using jargon,The sender did not use a formal channel,Information overload and lack of feedback opportunity
management,communication,medium,Which communication channel is generally richest in information cues and most effective for complex or sensitive messages?,"Media richness theory ranks channels by information richness. Face-to-face communication is richest because it transmits verbal content, tone, facial expressions, and body language simultaneously, allowing immediate feedback.",,,0,15,Face-to-face communication,Email,Formal written memo,Company intranet post
management,ethics-in-management,medium,"A manager discovers that a supplier uses child labor. The company's supplier code of conduct prohibits this. Applying stakeholder theory, who are the key stakeholders affected and what action is implied?","Stakeholder theory requires considering employees, customers, suppliers, and communities - not only shareholders. Child labor harms the children involved and damages the company's reputation with customers and investors. Stakeholder analysis implies terminating or reforming the supplier relationship.",Freeman,,,2,15,"Only shareholders matter, so analyze cost impact before deciding","The supplier is the only stakeholder, so renegotiate the contract","Multiple stakeholders are harmed; end or reform the supplier relationship","Employees are the key stakeholder; hold an internal vote on what to do"
management,ethics-in-management,medium,"A firm's board approves a policy that maximizes short-term profits by cutting R&D spending, harming the firm's long-term competitiveness. This illustrates a conflict between which two stakeholder groups?","Shareholders seeking short-term returns conflict with employees, customers, and future shareholders who benefit from long-term innovation. This tension is at the heart of agency theory and stakeholder theory debates.",,,1,15,Customers and suppliers,Short-term shareholders and long-term stakeholders,Government and the local community,Senior management and middle management
management,management-functions,medium,"A factory manager compares weekly output data to production targets, finds a 12% shortfall, then assigns extra shifts to close the gap. Which management function is being performed and what is the control process illustrated?","This describes the controlling function. The control process involves setting standards (targets), measuring actual performance, comparing performance to standards, identifying deviations, and taking corrective action - here adding shifts to close the 12% gap.",,,3,15,"Planning, because goals were set at the start of the week","Organizing, because resources (staff) are being rearranged","Leading, because the manager is directing workers","Controlling, because the manager measures performance, finds a deviation, and takes corrective action"
management,planning,medium,"A strategic plan sets a goal of 'increase revenue by 20%'. A manager then sets a department target of 'launch two new products by Q3'. What planning level does the department target represent?","The department target is a tactical plan - it translates the broad strategic goal into a specific medium-term action for a functional unit. Tactical plans sit between strategic goals and day-to-day operational plans.",,,0,15,Tactical plan,Strategic plan,Operational plan,Mission statement
management,org-structure,medium,"An organization outsources IT, payroll, and logistics to specialist firms and coordinates them through a small central hub. This describes which organizational form?","A network (or virtual) organization retains a small strategic core and outsources non-core activities to a web of specialist partners. It maximizes flexibility and accesses best-in-class capabilities but increases dependency on external parties.",,,2,15,Divisional structure,Functional structure,Network (virtual) organization,Matrix structure
management,delegation,medium,"A manager fully delegates a project to a team member, transfers authority, yet still feels responsible if the project fails. This reflects which management principle?","The principle of absolute accountability (or the parity of authority and responsibility) states that a manager's accountability cannot be delegated away. The manager who assigns the task remains accountable to their own superiors for the outcome.",,,1,15,Span of control,Absolute accountability,Unity of command,Scalar chain
management,decision-making,medium,"A management team uses a weighted scoring matrix to evaluate three site locations against criteria including cost, labor supply, and proximity to customers. This is an example of which decision-making approach?","A weighted scoring matrix is a tool from rational/analytical decision-making. It quantifies subjective judgments by assigning weights to criteria and scores to options, producing a defensible overall ranking.",,,3,15,Intuitive decision-making,Satisficing,Groupthink avoidance,Rational analytical decision-making
management,strategy,medium,"A retailer acquires a logistics company to control its supply chain. According to Ansoff, this is which type of strategic move?","Vertical integration (acquiring a supplier or distributor) is a form of diversification in the Ansoff Matrix because it represents a move into a new industry. It is specifically backward vertical integration when acquiring a supplier.",Ansoff,,,0,15,Vertical integration (a form of diversification),Market penetration,Product development,Market development
management,hrm,medium,"After a restructuring, 40 employees are made redundant. Management offers generous severance, outplacement counseling, and public acknowledgment of employees' contributions. What HRM concept does this reflect?","Ethical redundancy management (or responsible downsizing) involves treating departing employees with dignity and support. It protects the employer brand, maintains morale among remaining staff, and reduces legal risk.",,,2,15,Functional turnover management,Labor market analysis,Ethical redundancy management,Succession planning
management,motivation,medium,"A company introduces profit-sharing, flexible hours, and a clear promotion path. Using Herzberg's model, classify these initiatives correctly.","Profit-sharing and job security are hygiene factors (preventing dissatisfaction). A clear promotion path and achievement from advancement are motivators. A mixed initiative bundle must be analyzed carefully; only motivator elements will actively drive higher performance.",Herzberg,,,1,15,"All three are motivators that will directly increase employee performance","Profit-sharing is a hygiene factor; promotion path is a motivator; flexible hours can be either depending on context","All three are hygiene factors that will prevent dissatisfaction but not drive performance","Flexible hours are a motivator; profit-sharing and promotion path are hygiene factors"
management,change-management,medium,"An organization successfully implements a new CRM system but six months later employees revert to old spreadsheet habits. Using Lewin's model, at which stage did change management fail?","Lewin's Refreeze stage involves embedding the new behaviors through training reinforcement updated policies and cultural norms. Reverting to old habits indicates the change was never properly refrozen - the new state was not stabilized or institutionalized.",Lewin,,,3,15,Unfreeze - employees were not sufficiently prepared for the change,Change - the implementation was rolled out too quickly,Planning - the CRM was the wrong technology choice,Refreeze - the new behaviors were never stabilized or embedded
management,operations,medium,"A call center tracks the percentage of calls resolved on the first attempt as a key metric. This is an example of which operations management concept?","First-call resolution (FCR) is a key performance indicator (KPI) used in service operations. Tracking KPIs against targets is part of the controlling function and enables continuous quality improvement aligned with customer satisfaction goals.",,,0,15,A key performance indicator used to monitor service quality,A financial ratio measuring profitability,A human resources metric for staff attendance,A supply chain metric for on-time delivery
management,project-management,medium,"A project sponsor demands a 30% reduction in the project timeline without changing scope or budget. Which project management trade-off does this create?","The project management triangle (or triple constraint) links scope, time, and cost. Compressing time without adjusting scope or cost typically forces quality trade-offs or requires crashing (adding resources at higher cost). Something must give.",,,2,15,No trade-off because technology can solve time problems,A scope reduction is automatically triggered to maintain quality,A quality or cost trade-off because the triple constraint (scope-time-cost) is violated,A risk reduction because shorter projects have less exposure
management,communication,medium,"A manager holds a town hall meeting after a major merger announcement to let employees ask questions directly. What communication goals does this approach serve?","Town halls combine downward communication (informing staff) with upward communication (employee questions and concerns) and signal transparency. They address uncertainty during change, build trust, and reduce grapevine rumors.",,,1,15,"They allow the manager to avoid questions by providing a one-way broadcast","They combine downward information-sharing with upward feedback, build trust, and reduce rumors during change","They are primarily useful for announcing financial results to investors","They replace the need for written memos and formal policy documents"
management,leadership-styles,medium,"A hospital introduces self-managing nursing teams with shared leadership and collective accountability. This approach challenges which traditional management assumption?","Self-managing teams challenge the assumption that a single formal leader must direct and control work. They draw on Theory Y (McGregor) and servant leadership, distributing authority and relying on intrinsic motivation and peer accountability rather than hierarchical control.",McGregor,,,3,15,That organizations must have a divisional structure,That employees need financial incentives to perform,That quality control requires a dedicated department,That a single formal leader must direct and control each team
management,strategy,medium,"A firm faces five competitive forces: intense rivalry, powerful buyers, weak suppliers, high threat of new entrants, and low threat of substitutes. Which forces represent the greatest strategic threats in this scenario?","Porter's Five Forces assess industry attractiveness. Intense rivalry, powerful buyers, and high threat of new entrants are all forces that compress margins and threaten competitive position. Weak suppliers and low substitutes are favorable. The three listed threats are the priority concerns.",Porter,,,0,15,"Intense rivalry, powerful buyers, and high threat of new entrants","Weak suppliers and low threat of substitutes","Low threat of substitutes and weak suppliers only","High threat of new entrants and low threat of substitutes"
management,ethics-in-management,medium,"A manager is aware that a product has a minor defect that rarely causes harm but would be costly to fix. She decides not to recall it. Which ethical frameworks are in tension here?","Consequentialism supports the decision if the expected harm is low and the cost to the many customers of a recall is high. Deontology argues there is a duty to disclose and correct known defects regardless of outcomes. This scenario illustrates the classic tension between outcome-based and rule-based ethics.",,,2,15,"Virtue ethics and stakeholder theory, because character and relationships are at stake","Equity theory and expectancy theory, because employee motivation is affected","Consequentialism and deontology, weighing outcomes against duties and rights","Scientific management and administrative management, because efficiency conflicts with standardization"
management,hrm,medium,"A company uses 360-degree feedback in its appraisal process. What distinguishes this method from a traditional top-down appraisal?","360-degree feedback collects performance input from multiple sources: the employee's manager, peers, subordinates, and sometimes customers. This gives a fuller and more balanced picture than a single manager's assessment alone, reducing bias and blind spots.",,,1,15,It uses automated software to rate employees without human involvement,It collects performance input from multiple sources including peers subordinates and customers,It focuses only on quantitative targets and financial KPIs,It replaces annual appraisals with a single exit interview
management,planning,medium,"A company's strategic plan is undermined because middle managers set departmental targets that conflict with each other. This illustrates the importance of which planning concept?","Goal alignment (or vertical and horizontal alignment) ensures that departmental and individual objectives cascade from and remain consistent with the overall strategy. Conflicting goals signal a failure of the planning and communication process.",,,3,15,Contingency planning,Single-use planning,Scalar chain,Goal alignment across all organizational levels
